Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14)
No,0,0,548,28.5,19.1,0.414,0.004,0.007,0.004,0.398,0,0.015,0.573,44.85867
No,0,0,238,12.6,18.7,0.408,0.017,0,0,0.105,0.008,0.046,0.824,44.79167
No,0,0,152,9.2,16.3,0.546,0.197,0.02,0.013,0.467,0.013,0.039,0.25,44.11433
No,0,0,260,19,13.6,0.404,0,0,0,0.438,0,0.012,0.55,43.971
No,0,0,493,24.9,19.7,0.428,0.006,0,0,0.509,0,0.026,0.458,42.882
No,0,0,372,24.1,15.3,0.376,0.005,0,0.016,0.61,0,0.013,0.355,42.76617
No,0,0,106,3.3,31.5,0.292,0,0,0,0.236,0.028,0.009,0.726,42.62167
Yes,1,0,354,27,13.1,0.915,0.014,0.006,0.017,0.935,0,0.011,0.017,42.5645
No,0,0,909,47.4,19.1,0.563,0.04,0.006,0.006,0.608,0,0.003,0.338,42.50583
No,0,0,232,16.1,14.3,0.306,0.009,0.013,0,0.259,0,0.004,0.716,42.23167
No,0,0,121,8.8,13.7,0.727,0.008,0.033,0.008,0.579,0.008,0,0.364,41.69533
No,0,0,2161,55.3,39,0.394,0.035,0.008,0.012,0.22,0.001,0.063,0.661,41.46867
No,1,0,506,19.8,25.4,0.294,0.018,0.008,0.012,0.045,0,0.032,0.885,41.46317
No,0,0,1259,66.2,19,0.326,0.102,0.013,0.021,0.261,0.014,0.068,0.522,41.41517
Yes,0,0,256,22.5,11.3,0.859,0.004,0,0.004,0.789,0,0.027,0.176,40.76867
No,0,0,1238,60.9,20.3,0.28,0.12,0.006,0.048,0.222,0.005,0.064,0.535,40.723
No,0,0,1462,84.8,17.2,0.43,0.008,0.01,0.01,0.261,0.001,0.032,0.678,40.59617
Yes,1,0,1115,76.3,14.5,0.744,0.013,0.007,0.007,0.849,0.003,0.007,0.113,40.3075
No,0,0,605,35.9,16.8,0.471,0.002,0.005,0.005,0.352,0.003,0.015,0.618,39.553
No,0,0,299,25.9,11.5,0.518,0.164,0.007,0.033,0.455,0.007,0.023,0.311,39.32367
No,0,0,286,14.6,19.4,0.245,0.007,0.007,0.014,0.161,0,0.035,0.776,39.31617
No,0,0,308,20.3,15.1,0.231,0,0.006,0.023,0.081,0,0.055,0.834,38.604
No,0,0,698,39.3,17.7,0.458,0.003,0.251,0.004,0.192,0,0.043,0.507,38.515
No,0,0,1795,74.9,23.9,0.374,0.033,0.007,0.048,0.415,0.001,0.026,0.471,36.72933
No,0,0,1362,63.6,21.4,0.573,0.015,0.007,0.027,0.539,0.002,0.007,0.403,36.685
Yes,0,0,121,10.5,11.4,0.595,0.008,0.017,0.008,0.298,0,0.041,0.628,36.49567
Yes,0,0,80,8.3,9.6,0.613,0.025,0.013,0.013,0.888,0,0.038,0.025,35.62367
No,1,0,2672,71.2,37.5,0.167,0.044,0.015,0.013,0.26,0.003,0,0.665,35.43317
No,0,0,1843,77.2,23.8,0.192,0.007,0.009,0.011,0.514,0.002,0.015,0.442,35.29033
No,0,0,891,51.4,17.3,0.476,0.175,0.009,0.038,0.418,0.011,0.047,0.302,35.20817
No,0,0,72,7.6,9.3,0.681,0,0,0,0.653,0,0,0.347,35.01667
Yes,0,0,108,9.9,10.8,0.741,0,0,0.019,0.556,0,0.019,0.407,35.00983
No,0,0,256,17,14.9,0.676,0.008,0.008,0,0.73,0,0.012,0.242,34.603
No,0,0,220,14,15.7,0.618,0.018,0.009,0.009,0.723,0,0.014,0.227,34.4805
No,1,0,279,15.5,17.9,0.448,0.029,0.007,0.032,0.427,0,0.018,0.487,34.46817
Yes,0,0,463,25,18.4,0.436,0.004,0.002,0.009,0.136,0.004,0.041,0.803,34.3745
No,0,0,977,43.5,22.4,0.359,0.004,0.007,0.021,0.291,0.003,0.002,0.671,34.3005
No,0,0,864,48,18,0.683,0.341,0.015,0.025,0.351,0.013,0.042,0.213,34.21083
Yes,0,0,331,27.2,12.1,0.758,0.006,0.006,0.009,0.722,0,0,0.257,34.15
No,0,0,722,41.1,17.5,0.486,0.001,0.004,0.004,0.453,0.001,0.012,0.524,34.12617
Yes,0,0,1241,60.8,20.4,0.901,0.093,0.005,0.091,0.738,0.002,0.018,0.054,33.942
No,0,0,2290,124.3,18.4,0.519,0.315,0.007,0.055,0.326,0.003,0.052,0.243,33.70033
Yes,1,0,338,35.7,9.4,0.314,0.059,0.021,0.003,0.251,0,0.018,0.648,33.39717
No,0,0,168,13.2,12.6,0.643,0.036,0.024,0,0.101,0.018,0,0.821,32.97317
No,0,0,1355,65,20.8,0.505,0.027,0.003,0.004,0.559,0.001,0.011,0.394,32.76333
No,1,0,790,44.1,17.9,0.6,0.301,0.01,0.029,0.449,0.001,0.01,0.199,32.75533
No,0,0,549,31.1,17.6,0.641,0.002,0.004,0.002,0.61,0,0.022,0.361,32.2255
No,0,0,132,1.8,72.9,0.417,0,0,0.008,0.136,0,0.015,0.841,31.93433
No,0,0,136,3.3,40.1,0.118,0.007,0.015,0.066,0.14,0,0.096,0.676,31.90667
No,0,0,1024,51.5,19.8,0.56,0.017,0.006,0.006,0.705,0.001,0.01,0.256,31.71033
No,0,0,683,20.2,33.7,0.498,0.02,0.013,0.007,0.242,0,0,0.717,31.5605
No,0,0,178,12.6,14,0.933,0,0.011,0,0.944,0,0,0.045,29.15317
No,0,0,319,15.8,20.1,0.154,0.016,0.019,0.003,0.169,0,0.034,0.759,27.712
No,0,0,612,40.6,15,0.464,0.044,0.013,0.01,0.355,0.002,0.028,0.549,27.5365
