Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2014)
No,1,0,125,13.9,8.9,0,0,0.008,0.016,0.016,0,0,0.96,77.038
No,0,0,462,27,17,0.253,0.011,0,0.002,0.171,0,0.03,0.786,77.01118
No,0,0,630,33.6,18.7,0.183,0.087,0.005,0.062,0.181,0.005,0.063,0.597,76.98155
No,1,0,233,13.3,17.4,0.232,0,0.004,0.009,0.21,0.009,0.013,0.755,76.92757
No,0,0,412,24.5,16.8,0.124,0.015,0,0.005,0.087,0,0.012,0.881,76.89945
Yes,0,0,330,19.7,16.6,0.567,0,0.003,0,0.264,0.003,0.009,0.721,76.75629
No,0,0,444,24,18.5,0.162,0,0.007,0.023,0.101,0,0.029,0.84,76.73093
No,0,0,887,46.7,18.9,0.115,0.012,0.002,0.118,0.09,0.001,0.067,0.709,76.72457
No,0,0,481,27.4,17.5,0.116,0.027,0.008,0.05,0.112,0,0.062,0.74,76.70764
No,0,0,490,25.9,18.9,0.137,0,0.01,0.014,0.12,0.002,0.043,0.81,76.59173
No,0,1,454,25.7,17.6,0.099,0.013,0,0.097,0.121,0,0.064,0.705,76.58227
No,0,0,495,32.4,15.2,0.218,0.053,0.01,0.03,0.154,0.006,0.081,0.667,76.56664
No,0,0,366,20.4,17.9,0.169,0.016,0.003,0.022,0.101,0.003,0.027,0.828,76.52927
No,0,0,441,26.1,16.8,0.463,0.018,0.007,0.016,0.224,0.002,0.039,0.694,76.49827
Yes,0,0,379,25.8,14.6,0.272,0,0.003,0.029,0.182,0,0.037,0.749,76.48109
No,0,0,968,49.3,19.6,0.144,0.011,0,0.056,0.123,0.002,0.038,0.77,76.45121
No,0,0,686,37.3,18.3,0.356,0.06,0.004,0.023,0.168,0.006,0.085,0.655,76.39
No,1,0,240,14,17.1,0.279,0,0,0.021,0.117,0.013,0.025,0.825,76.38257
No,0,0,609,34.7,17.5,0.21,0.015,0.01,0.069,0.176,0,0.064,0.667,76.07409
No,0,0,433,23.3,18.5,0.376,0.009,0.009,0.016,0.194,0.002,0.051,0.718,75.86191
No,0,0,480,26,18.4,0.142,0.002,0.004,0.048,0.152,0,0.031,0.763,75.69093
No,0,0,631,29.8,21.1,0.165,0.114,0.003,0.081,0.16,0,0.068,0.574,75.67273
No,0,0,545,29,18.7,0.174,0.002,0.006,0.147,0.167,0,0.029,0.65,75.594
No,0,0,649,44.7,14.5,0.111,0.003,0.005,0.003,0.045,0.003,0.029,0.912,75.53386
No,0,0,581,32.8,17.7,0.454,0.017,0.012,0.003,0.243,0.003,0.034,0.687,75.37736
No,0,0,434,23.3,18.6,0.219,0.016,0.005,0.028,0.118,0,0.021,0.813,75.28836
No,0,0,587,34.8,16.8,0.136,0.009,0.01,0.029,0.143,0.002,0.037,0.77,75.19421
Yes,0,0,434,29.4,14.7,0.311,0.046,0,0.032,0.189,0,0.044,0.689,75.11491
No,0,0,518,25,20.7,0.286,0.002,0,0.004,0.147,0,0.054,0.793,75.001
No,1,0,507,33.6,15,0.369,0.28,0.004,0.039,0.152,0,0.028,0.497,74.90686
No,0,0,485,27.1,17.8,0.076,0.002,0.01,0.041,0.134,0.002,0.037,0.773,74.71393
No,1,0,446,24.8,17.9,0.027,0.011,0.004,0.022,0.063,0.004,0.031,0.863,74.66593
No,0,0,334,15,22.2,0.368,0.006,0.012,0.006,0.314,0,0.036,0.626,74.51779
No,1,0,750,46.4,16.1,0.124,0.049,0.005,0.032,0.181,0.003,0.077,0.652,74.18679
No,0,0,563,30.6,18.3,0.158,0,0.002,0.004,0.139,0,0.011,0.845,73.94773
No,0,0,515,24.5,21,0.264,0.008,0.012,0.016,0.206,0.002,0.041,0.717,73.89393
No,1,0,528,26.6,19.8,0.263,0.036,0,0.019,0.223,0.006,0.044,0.672,73.79664
No,0,0,588,31.2,18.8,0.07,0.003,0.002,0.051,0.109,0.002,0.049,0.784,73.67021
No,0,0,439,27,16.2,0.178,0.014,0,0.032,0.13,0,0.075,0.749,73.25245
No,1,0,643,30.6,21,0.198,0.014,0.002,0.045,0.199,0,0.056,0.684,73.23786
Yes,0,0,286,18,15.8,0.399,0,0.049,0.003,0.276,0,0.028,0.643,73.20645
No,0,0,520,28,18.5,0.138,0.01,0.002,0.033,0.113,0,0.04,0.802,73.11721
No,0,0,760,44.9,16.9,0.158,0.007,0.003,0.017,0.171,0,0.057,0.746,73.02871
No,1,0,285,19,14.9,0.218,0.007,0.007,0.035,0.091,0,0.025,0.835,72.96507
No,0,0,692,37.5,18.4,0.061,0.004,0.004,0.033,0.077,0,0.055,0.827,72.63227
No,0,0,443,22.8,19.3,0.318,0.016,0.005,0.025,0.233,0.009,0.038,0.675,72.48257
No,0,0,419,24.7,16.9,0.446,0.002,0,0.031,0.31,0.002,0.024,0.63,72.16036
No,0,0,319,20.7,15.3,0.42,0.075,0.003,0.028,0.245,0.003,0.05,0.596,72.14373
No,0,1,460,24,19.1,0.191,0.009,0.004,0.059,0.124,0,0.028,0.776,71.958
No,0,0,631,32,19.7,0.206,0.006,0.021,0.003,0.122,0.002,0.032,0.815,71.93055
No,0,0,608,32,19,0.248,0.028,0.008,0.044,0.184,0.002,0.031,0.702,71.60464
No,0,0,359,18,19.9,0.27,0.025,0.017,0.028,0.237,0,0.078,0.616,71.45709
No,1,0,678,35.2,19.2,0.161,0.009,0,0.032,0.099,0.004,0.069,0.786,71.41064
No,0,0,548,28.5,19.2,0.392,0.013,0,0.018,0.38,0,0.026,0.564,71.33291
No,0,0,631,34,18.5,0.143,0.095,0.002,0.059,0.143,0.002,0.059,0.642,71.257
No,0,0,424,22,19.2,0.465,0.007,0.005,0,0.127,0,0.045,0.816,71.24882
Yes,0,0,467,29,16.1,0.4,0.058,0.009,0.002,0.227,0.013,0.122,0.57,71.13291
No,0,0,625,36.6,17,0.51,0.002,0.005,0.003,0.488,0,0.018,0.485,71.07643
No,1,0,384,22.4,17.1,0.161,0.034,0.008,0.008,0.07,0.005,0.044,0.831,70.83214
No,0,0,413,23.2,17.8,0.259,0.007,0.002,0.015,0.15,0,0.039,0.787,70.80518
No,0,0,551,28.2,19.5,0.04,0.02,0.007,0.054,0.087,0,0.053,0.779,70.60371
No,0,0,593,27.9,21.2,0.172,0.005,0.002,0.008,0.14,0.002,0.005,0.838,70.51418
No,0,0,499,28,17.8,0.17,0.006,0.008,0.054,0.15,0,0.03,0.752,70.43591
No,0,0,661,37.2,17.7,0.198,0.017,0.005,0.132,0.153,0,0.047,0.648,70.41036
