City,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14)
Bailey,0,0,0,238,17,14,0.366,0.013,0.004,0.017,0.126,0,0.034,0.807,67.86264
Westminster,0,1,0,1866,87.2,21.3,0.183,0.014,0.006,0.068,0.251,0.001,0.025,0.635,67.68533
Greeley,0,1,0,1509,75,20.1,0.221,0.011,0.003,0.011,0.156,0,0.013,0.806,67.15273
Brighton,0,1,0,743,28.4,26.1,0.129,0.011,0.001,0.005,0.21,0.001,0.02,0.751,66.95282
Denver,0,0,0,875,44.7,19.5,0.55,0.182,0.013,0.043,0.333,0.007,0.043,0.379,66.59145
Laporte,0,0,0,304,19,16,0.329,0.01,0.01,0,0.135,0.003,0.026,0.816,66.56727
Castle Rock,0,0,0,886,48.8,18.1,0.139,0.009,0.009,0.01,0.132,0.001,0.035,0.804,66.5475
Limon,0,0,0,233,15.4,15,0.433,0.03,0.009,0,0.107,0,0.026,0.828,66.49309
Carbondale,0,1,0,233,13.3,17.4,0.232,0,0.004,0.009,0.21,0.009,0.013,0.755,66.2348
Boulder,0,0,0,547,32.3,16.9,0.294,0.007,0.007,0.06,0.236,0,0.029,0.66,66.09682
Aurora,0,0,0,1297,70.9,18.2,0.21,0.105,0.005,0.059,0.155,0.001,0.077,0.598,65.90027
Aurora,0,0,0,889,48.3,18.4,0.222,0.123,0.006,0.083,0.173,0.001,0.06,0.555,65.82164
Swink,0,0,0,155,13.4,11.5,0.348,0.019,0.006,0.058,0.006,0,0.013,0.897,65.61675
Wellington,0,0,0,423,25.5,16.5,0.39,0.012,0.017,0.009,0.151,0.002,0.009,0.799,64.55291
Frisco,0,0,0,703,45.3,15.5,0.398,0.004,0,0.007,0.317,0.001,0.03,0.64,64.30055
Granby,0,0,0,276,20.8,13.2,0.344,0.004,0.007,0,0.094,0.011,0.004,0.88,63.25545
Peetz,0,0,0,102,8.6,11.8,0.294,0,0.02,0,0.02,0,0.029,0.931,63.24838
Fort Collins,0,0,0,545,33.5,16.2,0.45,0.02,0.004,0.029,0.185,0.004,0.04,0.717,63.03873
Loveland,0,1,0,656,31.1,21,0.255,0.003,0,0.008,0.111,0.003,0.024,0.851,62.64745
