District,City,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14),Average Standard Score (2012-13)
Poudre School District R-1,Fort Collins,0,0,0,800,41.9,19,0.291,0.014,0.004,0.026,0.135,0.003,0.044,0.775,69.69145,72.5826
Weld County School District No. Re-2,Eaton,0,0,0,438,25.8,16.9,0.345,0.016,0.007,0.007,0.237,0,0.009,0.724,69.32609,72.8254
"Falcon, School District No. 49",Falcon,0,1,0,384,22.4,17.1,0.161,0.034,0.008,0.008,0.07,0.005,0.044,0.831,68.89136,67.7608
Jefferson County School District No. R-1,Golden,0,0,0,621,38.2,16.2,0.329,0.011,0.006,0.029,0.147,0.002,0.024,0.781,68.81627,57.38471
St. Vrain Valley School District No. Re1j,Longmont,0,1,0,1044,35.8,29.1,0.367,0.01,0.008,0.097,0.276,0.003,0.038,0.569,68.76027,65.9356
Weld County Reorganized School District No. Re-4,Windsor,0,0,0,608,37.5,16.1,0.217,0,0.007,0.015,0.15,0,0.021,0.808,68.62918,70.6432
"Pueblo, School District No. 60",Pueblo,0,0,0,711,38,18.6,0.606,0.024,0.003,0.014,0.549,0.001,0.015,0.394,68.52218,73.2979
"Douglas County School District, No. Re 1",Parker,0,0,0,1053,54,19.4,0.171,0.02,0.008,0.026,0.14,0.001,0.044,0.763,68.2335,63.77057
"Falcon, School District No. 49",Colorado Springs,0,1,0,746,53,14,0.157,0.035,0.004,0.017,0.194,0.004,0.121,0.625,68.01718,60.0975
"Platte Canyon, School District No. 1",Bailey,0,0,0,238,17,14,0.366,0.013,0.004,0.017,0.126,0,0.034,0.807,67.86264,75.999
Adams 12 Five Star Schools,Westminster,0,1,0,1866,87.2,21.3,0.183,0.014,0.006,0.068,0.251,0.001,0.025,0.635,67.68533,60.6451
"Greeley,school District No. 6",Greeley,0,1,0,1509,75,20.1,0.221,0.011,0.003,0.011,0.156,0,0.013,0.806,67.15273,70.5753
School District 27j,Brighton,0,1,0,743,28.4,26.1,0.129,0.011,0.001,0.005,0.21,0.001,0.02,0.751,66.95282,66.91717
School District No. 1,Denver,0,0,0,875,44.7,19.5,0.55,0.182,0.013,0.043,0.333,0.007,0.043,0.379,66.59145,59.1402
