District,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2014),Average Standard Score (2013)
Jefferson County School District No. R-1,1,0,0,284,17,16.6,0.739,0.021,0.039,0.046,0.243,0,0.046,0.606,17.64393,13.57408
St. Vrain Valley School District No. Re1j,1,0,0,369,28,13.1,0.873,0.008,0.003,0,0.829,0,0.011,0.149,17.52882,7.4895
"Aurora, Joint District No. 28",0,1,0,1088,70.7,15.3,0.574,0.178,0,0.046,0.526,0.002,0.07,0.178,17.47186,16.873
"Greeley,school District No. 6",0,0,0,440,26.5,16.5,0.766,0.014,0.005,0.014,0.657,0,0.02,0.291,17.44209,25.481
School District No. 1,1,1,0,472,27.6,17,0.727,0.333,0,0.061,0.426,0.002,0.061,0.117,17.409,16.608
Montezuma-Cortez School District No. Re-1,1,0,0,402,23.7,16.9,0.657,0.002,0.308,0.002,0.204,0.002,0.025,0.455,17.32655,17.4998
Holly School District No. Re-3,1,0,0,170,12.8,13.1,0.818,0,0,0,0.576,0,0,0.424,17.30964,29.47677
"Aurora, Joint District No. 28",0,0,0,570,30.2,18.8,0.709,0.146,0.011,0.028,0.604,0.002,0.058,0.153,17.25086,20.94715
"Greeley,school District No. 6",0,0,0,462,24.1,19.1,0.827,0.032,0,0.067,0.656,0.002,0.006,0.236,16.70236,13.4913
Sheridan School District No. 2,1,0,0,584,33.9,17.2,0.928,0.038,0.01,0.021,0.743,0.003,0.026,0.159,16.69482,14.8579
"Colorado Springs, School District No. 11",1,0,0,347,22.8,15.2,0.841,0.049,0.009,0.009,0.297,0,0.072,0.565,16.61273,27.7483
Jefferson County School District No. R-1,1,0,0,412,29,14.2,0.74,0.024,0.007,0.068,0.449,0.005,0.027,0.42,16.42957,9.073
Adams 12 Five Star Schools,1,0,0,410,22.6,18.1,0.849,0.041,0.01,0.015,0.583,0.002,0.007,0.341,16.359,10.6058
Jefferson County School District No. R-1,1,0,0,353,18.6,18.8,0.771,0.011,0.02,0.011,0.575,0,0.028,0.354,16.31543,(n/a)
Jefferson County School District No. R-1,1,0,0,440,31.3,14,0.934,0.045,0.023,0.014,0.639,0.016,0.016,0.248,16.31414,20.83954
School District N. 14,1,0,0,504,35,14.3,0.873,0.018,0.006,0.002,0.817,0,0.016,0.141,16.12536,18.2315
Jefferson County School District No. R-1,1,0,0,406,28.5,14.2,0.7,0.012,0.005,0.027,0.401,0,0.049,0.505,16.00964,17.25523
"Harrison, School District No. 2",1,0,0,396,28.5,13.8,0.821,0.111,0.005,0.03,0.619,0.003,0.051,0.182,15.90009,31.7845
Thompson School District R-2j,1,0,0,466,30.4,15.3,0.642,0.006,0.004,0.017,0.348,0.002,0.015,0.607,15.899,20.0273
Jefferson County School District No. R-1,1,0,0,500,28.5,17.5,0.666,0.004,0.002,0.002,0.688,0,0.018,0.286,15.84407,26.01046
"Pueblo, School District No. 60",1,0,0,479,29.8,16,0.898,0.025,0,0,0.81,0.004,0.006,0.154,15.66345,21.4596
"Grand Valley, School District No. 16",1,0,0,288,18.3,15.6,0.563,0.01,0.017,0,0.344,0,0.045,0.583,15.63518,9.59
"Englewood, School District No. 1",1,0,0,493,29.5,16.7,0.726,0.049,0.002,0.004,0.375,0.002,0.065,0.503,15.62536,22.63538
Garfield School District No. Re-2,1,0,0,285,19.3,14.7,0.737,0,0,0.004,0.509,0,0.025,0.463,15.521,30.668
Montrose County School District Re-1j,1,0,0,359,28.6,12.5,0.822,0.008,0.008,0.003,0.638,0,0.019,0.323,15.40464,26.8787
St. Vrain Valley School District No. Re1j,1,0,0,395,28,14,0.911,0.005,0,0.005,0.947,0,0,0.043,15.37045,8.5206
"Aurora, Joint District No. 28",1,0,0,350,19.1,18.2,0.829,0.134,0.009,0.034,0.691,0.011,0.046,0.074,15.27491,11.3559
"Aurora, Joint District No. 28",0,0,0,384,21.4,17.8,0.695,0.276,0.005,0.016,0.367,0.003,0.078,0.255,15.17636,18.2978
Mesa County Valley School District No. 51,0,0,0,182,7.6,23.8,0.181,0.005,0.011,0.005,0.088,0,0.038,0.852,15.061,(n/a)
School District No. 1,1,0,0,607,33.5,18.1,0.947,0.005,0.003,0.023,0.929,0.002,0.003,0.035,14.994,11.3915
"Pueblo, School District No. 60",1,0,0,311,20.5,15.1,0.81,0.01,0.003,0.006,0.656,0,0.019,0.305,14.98027,38.0594
Huerfano School District Re-1,1,0,0,311,25.1,12.3,0.826,0.019,0.042,0.006,0.659,0,0,0.273,14.89693,20.71754
"Greeley,school District No. 6",1,0,0,722,44,16.4,0.921,0.035,0.004,0,0.888,0,0.01,0.064,14.79993,12.28569
Boulder Valley School District No. Re2,1,0,0,349,29,12,0.648,0.02,0.006,0.026,0.668,0,0.029,0.252,14.77873,15.0605
School District No. 1,1,0,0,916,50.2,18.2,0.735,0.362,0.012,0.057,0.441,0.002,0.044,0.082,14.75057,12.91823
"Cherry Creek, School District No. 5",1,0,0,885,54.2,16.3,0.659,0.279,0.009,0.058,0.32,0.003,0.066,0.266,14.73491,23.179
School District No. 1,1,0,0,676,39.7,17,0.966,0.018,0.006,0.004,0.928,0.001,0.003,0.04,14.53673,13.716
School District No. 1,1,0,0,540,35,15.4,0.926,0.178,0.002,0.002,0.726,0,0.03,0.063,14.44991,7.4913
"Mapleton, School District No. 1",1,0,1,425,21.5,19.7,0.739,0.021,0.012,0.012,0.595,0.005,0.014,0.341,14.34264,17.30192
School District No. 1,1,0,0,646,40,16.1,0.988,0.019,0.005,0.019,0.941,0,0.005,0.012,14.07336,13.3394
School District No. 1,1,0,0,617,36.5,16.9,0.948,0.024,0.003,0.042,0.89,0.002,0.005,0.034,13.92618,16.6527
"Aurora, Joint District No. 28",0,0,0,502,23.9,20.9,0.715,0.221,0.006,0.028,0.442,0.006,0.054,0.243,13.84255,6.5812
"Mapleton, School District No. 1",1,0,1,484,26.8,18,0.771,0.017,0.01,0.023,0.682,0.002,0.041,0.225,13.83664,15.08446
School District No. 1,1,0,0,435,24.5,17.7,0.929,0.055,0.007,0.08,0.807,0,0,0.051,13.78673,14.1534
"Aurora, Joint District No. 28",1,0,0,535,29,18.4,0.821,0.168,0.011,0.032,0.654,0.015,0.041,0.079,13.73118,16.342
"Colorado Springs, School District No. 11",1,1,0,394,36.3,10.8,0.784,0.183,0.003,0.003,0.454,0,0.066,0.292,13.64671,18.29646
School District No. 1,1,0,0,577,34.5,16.7,0.951,0.22,0.002,0.007,0.697,0.003,0.029,0.042,13.34109,5.0713
"Westminster, School District No. 50",1,0,0,360,21.5,16.7,0.875,0.003,0.008,0.031,0.817,0,0.022,0.119,13.252,9.8493
School District N. 14,1,0,0,587,34.2,17.1,0.825,0.029,0.007,0,0.814,0.002,0.007,0.141,13.14655,14.8785
"Aurora, Joint District No. 28",1,0,0,731,37.8,19.3,0.789,0.241,0.008,0.029,0.527,0.007,0.066,0.123,13.00173,12.6803
"Colorado Springs, School District No. 11",1,0,0,338,20.6,16.4,0.837,0.074,0.003,0.003,0.479,0.003,0.08,0.358,12.99964,12.3625
School District No. 1,1,0,0,579,35,16.5,0.948,0.014,0.009,0.014,0.91,0,0,0.054,12.99945,12.4326
Adams 12 Five Star Schools,1,0,0,448,25.4,17.6,0.81,0.033,0.027,0.022,0.536,0.002,0.02,0.359,12.94427,12.3882
East Otero School District No. R1,1,0,0,440,24,18.3,0.789,0.009,0.005,0.007,0.648,0.002,0.009,0.32,12.80543,14.89946
Montezuma-Cortez School District No. Re-1,1,0,0,399,23.5,16.9,0.667,0,0.241,0,0.213,0.003,0.033,0.511,12.71882,14.3656
"Greeley,school District No. 6",1,0,0,623,36.6,16.9,0.979,0.058,0.002,0.096,0.701,0.003,0.011,0.128,12.66655,5.9306
School District No. 1,1,0,0,287,21.2,13.5,0.889,0.007,0.01,0,0.92,0,0.003,0.059,12.54655,9.3631
"Englewood, School District No. 1",1,0,0,232,18.5,12.4,0.677,0.034,0.022,0,0.267,0,0.03,0.647,12.47086,8.03562
"Pueblo, School District No. 60",1,0,0,390,24.4,15.9,0.79,0.038,0.01,0.003,0.728,0.003,0.013,0.205,12.2595,8.62169
"Greeley,school District No. 6",1,0,0,505,32.9,15.3,0.919,0.008,0.002,0.004,0.879,0.006,0.01,0.091,12.23636,7.727
"Cherry Creek, School District No. 5",1,0,0,642,47.2,13.6,0.779,0.198,0.014,0.037,0.511,0.006,0.042,0.192,12.15327,25.3604
"Westminster, School District No. 50",1,0,0,291,17.6,16.4,0.935,0.014,0,0.014,0.814,0.014,0.014,0.131,12.06873,11.2311
"Aurora, Joint District No. 28",1,0,0,659,36.2,18.1,0.829,0.232,0.006,0.011,0.621,0.006,0.047,0.077,12.00655,12.9429
School District No. 1,1,0,0,666,38.2,17.4,0.952,0.096,0.003,0.024,0.857,0.002,0.009,0.009,11.94279,9.72162
"Pueblo, School District No. 60",1,0,0,448,28.9,15.4,0.942,0.033,0.02,0,0.788,0.002,0.009,0.147,11.89986,18.01615
"Aurora, Joint District No. 28",0,0,0,1132,62.1,18.2,0.455,0.072,0.008,0.02,0.441,0.005,0.067,0.386,11.89771,12.40162
"Aurora, Joint District No. 28",1,0,0,759,45.1,16.7,0.897,0.153,0.004,0.03,0.702,0.009,0.025,0.076,11.86218,11.9862
School District No. 1,1,0,0,532,30,17.7,0.949,0.194,0.008,0.009,0.739,0,0.021,0.03,11.81555,6.6564
School District N. 14,1,0,0,539,35.6,15.1,0.837,0.028,0.002,0.007,0.833,0,0.007,0.122,11.70882,4.7037
School District N. 14,1,0,0,461,27.9,16.4,0.768,0.013,0.004,0,0.863,0,0.009,0.111,11.55745,5.3736
Ignacio School District No. 11jt,1,0,0,354,27.5,12.8,0.497,0,0.181,0,0.41,0,0.056,0.353,11.39527,12.0549
"Aurora, Joint District No. 28",0,1,0,482,23.5,20.4,0.55,0.266,0.008,0.017,0.376,0.002,0.05,0.282,11.34793,20.93246
"Greeley,school District No. 6",1,0,0,650,37.3,17.3,0.966,0.045,0.003,0.014,0.835,0,0.006,0.097,11.32427,11.931
School District No. 1,1,0,0,393,25,15.7,0.926,0.074,0.025,0.008,0.809,0,0.015,0.069,11.311,8.6005
School District No. 1,1,0,0,939,53.2,17.6,0.835,0.029,0.007,0.032,0.778,0,0.027,0.127,11.256,9.48223
School District No. 1,1,0,0,464,31.7,14.6,0.709,0.019,0.026,0.004,0.711,0.002,0.009,0.228,10.86027,7.36715
"Westminster, School District No. 50",1,0,0,354,19.4,18.1,0.847,0.031,0.008,0.051,0.667,0,0.028,0.215,10.75545,5.2238
"Aurora, Joint District No. 28",1,0,0,576,27.6,20.8,0.847,0.076,0.016,0.017,0.79,0,0.024,0.076,10.67064,8.7217
School District No. 1,1,0,0,546,32,17,0.921,0.002,0.007,0.024,0.899,0,0.009,0.059,10.59764,14.4633
School District No. 1,1,0,0,377,22.5,16.7,0.942,0.252,0.011,0.029,0.645,0.005,0.008,0.05,10.49127,5.6257
Monte Vista School District No. C-8,1,0,0,387,27.5,14,0.811,0.003,0.026,0.005,0.78,0,0.01,0.176,10.48509,10.5498
"Aurora, Joint District No. 28",1,0,0,453,26.1,17.3,0.832,0.307,0.004,0.013,0.565,0,0.046,0.064,10.44545,18.0506
"Aurora, Joint District No. 28",0,0,0,537,25.3,21.1,0.659,0.272,0.017,0.034,0.408,0.007,0.073,0.19,10.42345,14.2984
"Mapleton, School District No. 1",1,0,1,471,24.5,19.2,0.8,0.019,0.011,0.006,0.824,0,0.015,0.125,10.34893,12.27046
St. Vrain Valley School District No. Re1j,1,0,0,392,27.8,14,0.862,0.003,0.003,0,0.875,0.003,0.003,0.115,10.30273,8.209
Adams 12 Five Star Schools,1,0,0,463,28,16.5,0.827,0.022,0.006,0.082,0.629,0,0.039,0.222,10.15336,10.0411
Jefferson County School District No. R-1,1,0,0,532,30,17.7,0.895,0.024,0.013,0.011,0.78,0,0.023,0.148,9.97243,10.36062
"Greeley,school District No. 6",1,0,0,500,34.8,14.3,0.96,0.022,0.004,0.008,0.868,0,0.006,0.092,9.817,6.4618
"Westminster, School District No. 50",0,0,0,303,19.8,15.2,0.799,0.017,0.01,0.089,0.644,0,0.036,0.205,9.79791,11.2311
"Mapleton, School District No. 1",1,0,1,520,32.2,16.1,0.79,0.006,0,0.029,0.738,0.002,0.015,0.21,9.70164,10.06838
Adams 12 Five Star Schools,1,0,0,456,27,16.8,0.923,0.033,0.004,0.007,0.84,0,0.013,0.103,9.586,5.287
Jefferson County School District No. R-1,1,0,0,538,35.3,15.2,0.853,0.009,0.019,0.006,0.775,0,0.022,0.169,9.48414,9.03838
School District N. 14,1,0,0,501,31.7,15.7,0.866,0.024,0.01,0,0.792,0,0.012,0.162,9.45127,4.7574
"Aurora, Joint District No. 28",1,0,0,565,31.2,18,0.839,0.097,0.007,0.064,0.756,0.007,0.027,0.042,9.359,3.5345
School District No. 1,1,0,0,287,17,16.8,0.78,0.233,0.007,0,0.463,0,0.07,0.226,9.34382,7.95767
School District No. 1,1,0,0,686,35.5,19.3,0.929,0.171,0.001,0.004,0.77,0.017,0.016,0.02,9.34355,6.8273
"Colorado Springs, School District No. 11",1,0,0,480,32.6,14.7,0.867,0.096,0.01,0.015,0.596,0,0.058,0.225,9.28509,18.8038
"Aurora, Joint District No. 28",1,0,0,521,29.7,17.5,0.881,0.132,0.002,0.094,0.645,0.012,0.027,0.088,9.11527,5.7613
"Westminster, School District No. 50",1,0,0,388,21.9,17.7,0.928,0,0.005,0.005,0.923,0,0.008,0.059,9.07909,4.27
"Aurora, Joint District No. 28",0,0,0,516,25.7,20,0.638,0.252,0.002,0.025,0.411,0.004,0.081,0.225,8.70682,3.6284
"Greeley,school District No. 6",1,0,0,613,36.1,16.9,0.915,0.008,0.005,0.011,0.928,0,0,0.047,8.66591,8.5891
School District No. 1,1,0,0,282,20.5,13.7,0.972,0.011,0.004,0,0.954,0,0,0.032,8.531,13.2089
School District No. 1,1,0,0,335,20,16.7,0.946,0.215,0.018,0.009,0.651,0,0.012,0.096,8.50555,7.3141
School District No. 1,1,0,0,478,26.5,18,0.935,0.031,0.013,0.002,0.902,0.002,0.006,0.044,8.49464,5.992
"Aurora, Joint District No. 28",1,0,0,536,27.4,19.4,0.851,0.183,0.009,0.063,0.612,0.019,0.026,0.088,8.41791,4.7835
School District No. 1,1,0,0,431,23.5,18.3,0.951,0.023,0.005,0.002,0.919,0,0.026,0.026,8.41518,10.4482
School District No. 1,1,0,0,519,38,13.6,0.95,0.118,0.031,0,0.802,0,0.017,0.033,8.16164,3.27885
School District 27j,1,0,0,392,25.4,15.3,0.811,0,0.003,0,0.839,0.003,0.013,0.143,8.08955,4.6968
School District No. 1,1,0,0,199,15.5,12.8,0.935,0.442,0.015,0.01,0.508,0,0.005,0.02,7.97164,4.3905
Adams 12 Five Star Schools,1,0,0,393,23,17,0.802,0.028,0.01,0.051,0.672,0.005,0.015,0.219,7.87,6.7024
Jefferson County School District No. R-1,1,0,0,178,16,11.1,0.708,0.017,0.006,0.006,0.478,0,0.039,0.455,7.8565,5.12054
School District No. 1,1,0,0,319,19.5,16.3,0.875,0.009,0,0,0.931,0,0,0.06,7.76936,6.0851
"Aurora, Joint District No. 28",1,0,0,754,38,19.8,0.874,0.101,0.005,0.179,0.659,0.001,0.019,0.036,7.48645,1.8977
Adams 12 Five Star Schools,1,0,0,469,26.8,17.4,0.819,0.015,0.006,0.034,0.682,0,0.038,0.224,7.48145,7.7914
"Pueblo, School District No. 60",1,0,0,415,24.8,16.6,0.863,0.019,0.01,0,0.778,0,0.017,0.176,7.41457,19.15915
School District No. 1,1,0,0,1054,67,15.7,0.961,0.287,0.002,0.277,0.322,0.01,0.023,0.079,7.3765,4.82746
School District No. 1,1,1,0,501,35.3,14.1,0.95,0.054,0.004,0,0.936,0,0.002,0.004,7.34271,7.69254
School District No. 1,1,0,0,449,27.8,16.1,0.971,0.018,0.004,0.027,0.889,0,0.011,0.051,7.34209,6.343
"Westminster, School District No. 50",1,0,0,403,24.4,16.5,0.834,0.02,0.005,0.117,0.702,0,0.007,0.149,7.12582,7.176
School District No. 1,1,0,0,435,28.2,15.3,0.956,0.122,0.014,0.002,0.8,0,0.021,0.041,7.08964,4.96738
Idalia Rj-3 School District,1,0,0,130,8.3,15.5,0.5,0,0.008,0,0.238,0,0,0.754,7.069,5.199
School District N. 14,1,0,0,577,39,14.7,0.816,0.031,0,0.002,0.832,0.002,0.014,0.12,6.92127,5.685
"Mapleton, School District No. 1",1,0,1,415,26,15.9,0.829,0.005,0.005,0.005,0.827,0,0.014,0.145,6.84986,14.95015
"Mapleton, School District No. 1",1,0,0,600,33,18.1,0.845,0.018,0.005,0.008,0.873,0,0.008,0.087,6.797,10.11808
School District No. 1,1,0,0,528,31,17,0.983,0.078,0.017,0.006,0.818,0,0.027,0.055,6.77991,4.4267
Lake County School District No. R-1,1,0,0,321,20.9,15.3,0.776,0,0.009,0,0.688,0,0.019,0.283,6.77471,17.60267
School District No. 1,1,0,0,239,20.5,11.6,0.9,0.402,0.008,0,0.49,0.004,0.017,0.079,6.73273,3.32569
School District No. 1,1,0,0,281,23.5,11.9,0.972,0.327,0.007,0.1,0.502,0.004,0.028,0.032,6.71182,3.5935
"Aurora, Joint District No. 28",1,0,0,578,33.2,17.4,0.901,0.093,0.009,0.017,0.76,0.002,0.024,0.095,6.69527,5.2917
Adams 12 Five Star Schools,1,0,0,443,26.5,16.7,0.919,0.054,0.018,0.005,0.781,0,0.025,0.117,6.43282,6.8452
Adams 12 Five Star Schools,1,0,0,528,29.3,18,0.903,0.008,0.002,0.006,0.83,0,0.006,0.15,6.19609,7.3696
School District N. 14,1,0,0,699,42.5,16.4,0.863,0.021,0.009,0.001,0.811,0,0.003,0.155,6.17891,8.5144
"Aurora, Joint District No. 28",1,0,0,618,33.7,18.3,0.796,0.227,0.006,0.024,0.574,0.003,0.065,0.1,6.16045,2.7824
Adams 12 Five Star Schools,1,0,0,329,19.1,17.2,0.833,0.021,0.009,0.027,0.562,0,0.04,0.34,6.03518,12.8276
"Westminster, School District No. 50",1,0,0,298,17.2,17.2,0.832,0.017,0.003,0.034,0.728,0,0.027,0.191,5.99436,6.272
School District No. 1,1,0,0,499,30.7,16.2,0.96,0.018,0.01,0.006,0.906,0,0.012,0.048,5.98055,9.662
School District No. 1,1,1,0,588,36.5,16,0.959,0.206,0.009,0,0.759,0,0.012,0.015,5.52493,7.26354
Jefferson County School District No. R-1,1,0,0,275,16.8,16.3,0.825,0.007,0.022,0.004,0.505,0,0.007,0.455,5.37314,5.01292
State Charter School Institute,1,1,0,244,16.4,14.8,0.877,0.086,0,0.008,0.684,0,0.016,0.205,5.06236,9.14846
School District No. 1,1,0,0,603,35,17.2,0.987,0.025,0.003,0.041,0.905,0.002,0.007,0.017,4.92345,3.9126
Adams 12 Five Star Schools,1,0,0,581,32.5,17.8,0.943,0,0.003,0.003,0.867,0,0,0.126,4.785,3.9894
"Pueblo, School District No. 60",1,0,0,452,32.7,13.7,0.909,0.038,0.007,0,0.796,0,0.015,0.144,4.61943,9.08715
School District No. 1,1,0,0,637,40.5,15.7,0.956,0.217,0.002,0,0.754,0,0.014,0.014,4.55127,(n/a)
School District No. 1,1,0,0,583,34.5,16.8,0.974,0.039,0.003,0,0.923,0,0,0.034,4.33755,5.7689
Montezuma-Cortez School District No. Re-1,1,0,0,294,21.1,13.9,0.803,0,0.435,0,0.228,0,0.034,0.303,4.157,2.9515
"Aurora, Joint District No. 28",1,0,0,474,28.7,16.4,0.842,0.133,0.006,0.154,0.654,0.002,0.019,0.032,3.89621,3.83138
School District No. 1,1,0,0,400,26,15.3,0.983,0.083,0,0.013,0.875,0,0.005,0.025,3.81273,1.918
"Aurora, Joint District No. 28",1,0,0,485,34.5,14,0.93,0.124,0.019,0.019,0.771,0.012,0.014,0.041,3.75927,2.66367
"Aurora, Joint District No. 28",1,0,0,561,26.7,20.9,0.888,0.15,0.018,0.005,0.704,0.005,0.041,0.077,3.63373,4.4533
School District No. 1,1,0,0,500,37.7,13.2,0.978,0.016,0.004,0.034,0.92,0,0.006,0.02,3.516,1.5203
"Aurora, Joint District No. 28",1,0,0,490,26.1,18.7,0.902,0.108,0.016,0.008,0.814,0.004,0.027,0.022,3.10818,3.7952
School District No. 1,1,1,0,558,35.9,15.5,0.95,0.235,0.004,0.014,0.683,0.002,0.018,0.045,2.52864,(n/a)
"Aurora, Joint District No. 28",1,0,0,568,28.3,20,0.813,0.169,0.025,0.018,0.68,0,0.028,0.081,2.3226,5.1951
